nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,malt,hops,chocolate,german,banana,vanilla,caramel,yeast,fruit,whiskey,rhum,alcohol,gluten,barrel,rye,barley,cocoa,small/lower,big/upper
10,5056111,HORIZONT Brewing,Night Shift Vintage 2022 Double Baltic Porter Aged In Rhum Barrels,Porter - Imperial / Double Baltic,https://untappd.com/b/horizont-brewing-night-shift-vintage-2022-double-baltic-porter-aged-in-rhum-barrels/5056111,14.4,N/A,4.16,1310,10/07/22,"In 2021, Horizont brewed its first Double Baltic Porter and from the first time we sampled it, we knew it had huge potential and needed to explored more thoroughly as a style. For this 2022 vintage, we chose Rhum Agricole barrels from Saint-Martin Island in the Caribbean so the recipe had to be changed to fit the essence of the barrel. The base beer is a pleasantly chocolatey, nutty, full-bodied, and sweet dark brown/black lager. Yes, it's a lager, as bottom-fermented yeast is traditionally used for this style, and due to the neutral fermentation, this type allows the malty, hoppy, and barrel notes to prevail. Enjoy this spectacular beer!Amikor 2021-ben lefőztük és kóstoltuk az első Double Baltic Porterünket, tudtuk, hogy ebben a stílusban hatalmas potenciál van. A 2022-es vintage tételt már más típusú, Rhum Agricole érlelésére felhasznált hordókba tettük. Ehhez egy kicsit módosítanunk kellett a maláta profilon a 2021-es verzióhoz képest. Az alap egy kellemesen csokis, mogyorós, testes és édeskés sötétbarna/fekete lager. Igen, lager, mivel hagyományosan alsóerjesztésű élesztőt használnak ehhez a stílushoz, illetve az ízsemleges erjedés miatt ez a típus hagyja jobban érvényesülni a malátás, komlós és hordós jegyeket. ",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
11,5919340,Mad Scientist,Glorious Mess,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-glorious-mess/5919340,5.7,N/A,4.16,1021,07/24/24,"Ice Cream Smoothie Sour with Mango, Pineapple, Apricot collab with our main crispy boys HOP HOOLIGANS (ROM) following our Bucharest collab BEAUTIFUL MESS ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5626567,HORIZONT Brewing,Night Shift Vintage 2023 - Vanilla & Cinnamon Bundt Cake Pastry Stout Aged In Tennessee Whiskey Barrels,Stout - Imperial / Double Pastry,https://untappd.com/b/horizont-brewing-night-shift-vintage-2023-vanilla-and-cinnamon-bundt-cake-pastry-stout-aged-in-tennessee-whiskey-barrels/5626567,11.0,N/A,4.15,1025,12/01/23,"Fahéjjal és vaníliával fűszerezett Pastry Stout, amelynek alapötlete a kuglóf volt. Az alapsör HBC 472 komlóval készült, amely segített elmélyíteni a hordós érlelés során átvett Tennessee whiskey hordók fás, hihetetlenül vaníliás ízjegyeit. A tökéletes ízvilágát a hozzáadott fahéjjal érte el ez a testes, zamatos sörkülönlegesség. This bottle hides an Imperial Pastry Stout made with cinnamon and vanilla, based on the idea of true love and a bundt cake.The base beer is made with American experimental hops called HBC 472, which helps to deepen the woody, vanilla flavors of the Tennessee whiskey barrels used during barrel maturation. In order to achieve the perfect taste, we added cinnamon to the beer's mouthfeel to achieve this gourmet beer specialty. ",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
13,4534892,HORIZONT Brewing,Night Shift Vintage 2021 Barleywine Aged In Rhum Barrels With Tonka Beans,Barleywine - English,https://untappd.com/b/horizont-brewing-night-shift-vintage-2021-barleywine-aged-in-rhum-barrels-with-tonka-beans/4534892,13.0,N/A,4.15,1307,10/05/21,Barleywine aged in rhum barrels with a little twist coming from the tonka beans. ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
14,5056103,HORIZONT Brewing,Night Shift Vintage 2022 Russian Imperial Stout Aged In Bourbon Barrels with Chocolate & Coffee,Stout - Imperial / Double Coffee,https://untappd.com/b/horizont-brewing-night-shift-vintage-2022-russian-imperial-stout-aged-in-bourbon-barrels-with-chocolate-and-coffee/5056103,13.6,N/A,4.15,2194,10/07/22,"In 2020, when we tasted the first version of this beer, we felt a sense of pride like never before. This feeling has persisted every year since then. Our base beer is a midnight black, full-bodied Russian imperial stout, which we then matured on freshly roasted Ethiopian variant of a Budapest specialty coffee roaster and Ghanaian cocoa beans. All this was poured into freshly emptied bourbon barrels and aged for nearly a year to reach its most beautiful form. Enjoy this splendid beer!2020-ban amikor megkóstoltuk ennek a sörnek az első verzióját, akkor olyan büszkeség fogott el bennünket, mint előtte még soha. Ezt az érzést azóta is minden évben érezzük. Az alapsörünk egy éjfekete, testes russian imperial stout, amit egy budapesti specialty kávépörkölő frissen pörkölt etiópiai variánsán és ghánai kakaóbabon érleltünk utána. Mindezt frissen ürített bourbon hordókba fejtettük és érleltük közel egy évig, hogy elérje a legszebb formáját. ",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
15,4534894,HORIZONT Brewing,Night Shift Vintage 2021 Double Baltic Porter Aged In Bourbon Barrels,Porter - Imperial / Double Baltic,https://untappd.com/b/horizont-brewing-night-shift-vintage-2021-double-baltic-porter-aged-in-bourbon-barrels/4534894,14.0,N/A,4.15,1491,10/05/21,Double Mashed Baltic Porter aged in Bourbon Barrels. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5056112,HORIZONT Brewing,Night Shift Vintage 2022 Wheat Wine Aged In Bourbon & Rum Barrels,Wheat Beer - Wheat Wine,https://untappd.com/b/horizont-brewing-night-shift-vintage-2022-wheat-wine-aged-in-bourbon-and-rum-barrels/5056112,15.1,N/A,4.15,1295,10/07/22,"For years we have considered blending our Wheat Wine Whiskey barrel aged beer with the Wheat Wine Rhum version. 2022 is the year it comes to fruition by blending these two great beers with a mixed barrel Wheat Wine. Our brewmaster, along with the team worked diligently to blend the proper proportions of each to create this unique brew. The whiskey barrel comes from a small American distillery while the Rhum Agricole barrel came from Saint Martin Island in the Caribbean. The third barrel started its journey in Tennessee filled with whiskey then traveled to Jamaica to be filled with Rum before making its way to Hungary to be filled with a portion of the beer you have in your hand. Enjoy this astonishing beer! Régóta szerettük volna blendelni a rumos és a bourbon hordókban érlelt búzaborunkat. 2022-ben valóra is váltottuk, méghozzá egy érdekes, tripla blend formájában. Kitartóan dolgoztunk az arányok eltalálásán, hogy létrehozzuk ezt az egyedi tételt. Az egyik, whiskey-s hordóban, amit ehhez a sörhöz választottunk, egy kis amerikai lepárló bourbon-je volt előzőleg. A rumoshordók a karibi-térségi Szent Martin szigetről származnak, ahol előzőleg Rhum Agricole voltak bennük. A harmadik hordóban először Tennessee Whiskey volt, majd áthajózott Jamaicába és ott egy zseniális rumot töltöttek bele, ezután mikor kiürült, nálunk landolt, hogy megtölthessük azzal a sörrel, amit a kezedben tartasz. ",0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
17,4017430,HORIZONT Brewing,Night Shift Vintage 2020 Russian Imperial Stout Aged in Bourbon Barrels,Stout - Russian Imperial,https://untappd.com/b/horizont-brewing-night-shift-vintage-2020-russian-imperial-stout-aged-in-bourbon-barrels/4017430,12.0,N/A,4.15,1387,10/21/20,"This beer was brewed with 12 types of malts, 6 hours of boil time,and 3 months of fermenting to prepare it for a long journeyin freshly emptied Tennessee Whiskey Barrels. Thesebarrels give this thick, dark, black beer rich notes of vanillaand bourbon, resulting in a complex flavour combinationwhich we gladly recommend for every beer lover. ",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
18,3464237,Mad Scientist,Blackcurrant Trifle,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-blackcurrant-trifle/3464237,10.0,N/A,4.15,2750,10/04/19,"Collabfest 2019 Imperial Pastry Gose 8,2% brewed in collaboration with BrewDog Budapest and Mad ScientistThe 2nd batch, brewed by the request of BrewDog UK for Collabfest 2020 has the abv of 10% ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6010349,HORIZONT Brewing,Night Shift Vintage 2024 - Russian Imperial Stout Aged in Bourbon Barrels with Chocolate & Coffee,Stout - Russian Imperial,https://untappd.com/b/horizont-brewing-night-shift-vintage-2024-russian-imperial-stout-aged-in-bourbon-barrels-with-chocolate-and-coffee/6010349,11.2,N/A,4.14,1093,10/05/24,"A büszkeségünk 2020 óta, ez a Russian Imperial Stout etióp kávéval és ghánai kakaóval készül, 2 évig bourbon hordókban érlelve.Our pride since 2020, this Russian Imperial Stout is brewed with Ethiopian coffee and Ghanaian cocoa beans, aged 2 years in bourbon barrels. ",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
20,3618027,Brew Your Mind,No Memories,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-no-memories/3618027,8.7,N/A,4.13,2264,01/08/20,The stronger version of our Only Memories IPA.  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4895488,Brew Your Mind,Moment In Time 2022 Mexican Vanilla,Stout - Imperial / Double,https://untappd.com/b/brew-your-mind-moment-in-time-2022-mexican-vanilla/4895488,12.6,N/A,4.13,502,06/19/22,"11 hónapig ír grain whisky hordókban érleltük, majd palackozás előtt került bele egy kis organikus mexikói vanília. Olajosan sűrű, csokoládés ízvilágú, komplex sörital. ",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22,5043675,Mad Scientist,Nasty Riff,Stout - Imperial / Double,https://untappd.com/b/mad-scientist-nasty-riff/5043675,14.0,N/A,4.12,1899,09/29/22,Mexican Cake Inspired Imperial Stout collab with Adroit Theory (USA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5273537,Brew Your Mind,Green Echo,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-green-echo/5273537,8.0,N/A,4.12,1500,03/14/23,motueka & citra dipa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5056101,HORIZONT Brewing,Night Shift Vintage 2022 Russian Imperial Stout Aged In Tennessee Whiskey Barrels,Stout - Russian Imperial,https://untappd.com/b/horizont-brewing-night-shift-vintage-2022-russian-imperial-stout-aged-in-tennessee-whiskey-barrels/5056101,13.0,N/A,4.12,1763,10/07/22,"The Original Night Shift beer has returned to its founding! In 2016 when this beer was first brewed, it started the journey of the Night Shift line of beers. The 2022 version returns to the beginning, when it was matured only, and exclusively, in Tennessee Whiskey barrels. No spices, just the barrel, malt and hops. Every year we polish the recipe to make it more perfect and even silkier. Enjoy this classic beer!Ezzel a tétellel visszatértünk az eredeti Night Shift gyökereihez. Amikor 2016-ban lefőztük ennek a sörnek az első verzióját, nem is sejtettük, hogy hová vezet az útja. 2018-ban elkészült az első hordóérlelt változata, megkezdve a hosszú utazást, aminek most egy állomásához érkeztünk. Azóta is töretlen népszerűségnek örvend, és minden évben csiszolunk rajta egy kicsit, hogy még tökéletesebb és még selymesebb legyen. A 2022-es verzió visszatér a kezdetekhez, amikor csak és kizárólag Tennessee Whiskey hordóban érleltük. Semmi fűszer, csak a hordó, maláta és a komló, egy igazi klasszikus. ",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25,5625799,HORIZONT Brewing,Night Shift Vintage 2023 - Rye Wine Aged In Bourbon Barrels - Aged 2 Years,Rye Wine,https://untappd.com/b/horizont-brewing-night-shift-vintage-2023-rye-wine-aged-in-bourbon-barrels-aged-2-years/5625799,10.2,N/A,4.12,891,11/30/23,"Ez a zamatos és egyedi ízélményt nyújtó, karamellizált rozsmalátával, valamint rozspehellyel készült rozsbor egy hihetetlenül krémes, gyümölcsös ízvilágú sör. Az alap rozsbort két évig érleltük Bourbon hordókban, az ez idő alatt átvett fás-viszkis ízjegyek komplex és kivételes ízvilágot adtak ennek az egészen különleges sörnek. With this Rye wine, we ventured further into the realm of the grain wine. From the point of view of brewing, we made the base beer with rye, an undeservedly underrated brewing grain, which was aged in bourbon barrels for nearly two years. Of course, we didn't just use plain, basic rye malt, since with this excellent beer we aim to show the diversity of this grain, so we also used two types of caramelized rye malt and rye flakes to create this unique beer. ",1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
26,5687612,Brew Your Mind,Steep Dreaming,IPA - New England / Hazy,https://untappd.com/b/brew-your-mind-steep-dreaming/5687612,7.0,N/A,4.11,1225,01/21/24,Hazy IPA Citra és Riwaka komlóval. A Keep Dreaming sörünk dupla ipa szinten komlózott változata. ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6082605,Brew Your Mind,Moment In Time 2024: Calvados & Apple Brandy Barrel,Stout - Imperial / Double,https://untappd.com/b/brew-your-mind-moment-in-time-2024-calvados-and-apple-brandy-barrel/6082605,13.5,N/A,4.11,532,12/04/24,"A 50-50 Calvados and Apple Brandy barrel aged imperial stout blended into a single experience. Very moderate carbonation, smooth oily body and rich chocolate aromas, the stout is complemented by a mild, refreshing acidity imparted by the Brandy barrels. ",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,2074074,Brew Your Mind,Evermind,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/brew-your-mind-evermind/2074074,8.2,N/A,4.09,3926,05/03/17,Our New England inspired double IPA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5970051,Brew Your Mind,Everyday Lies,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/brew-your-mind-everyday-lies/5970051,8.0,N/A,4.09,713,09/03/24,"Halfway between Bright Lies and Big Lies, there is Everyday Lies IPA. Hopped with Mosaic and Citra the same amount as Big Lies. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2521955,Brew Your Mind,Money Cannon,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-money-cannon/2521955,8.3,N/A,4.09,1930,02/20/18,"This double New England insired IPA is a collaboration with our good friend armando_otchoa. This one comes with a blast of tropical fruit flavors and a velvety mouthfeel. Made with 30g/L australian and american hops. Amarillo, Galaxy, Citra ",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,5056107,HORIZONT Brewing,Night Shift Vintage 2022 Imperial Pecan Pie Stout Aged In Tennessee Whiskey Barrels,Stout - Imperial / Double Pastry,https://untappd.com/b/horizont-brewing-night-shift-vintage-2022-imperial-pecan-pie-stout-aged-in-tennessee-whiskey-barrels/5056107,13.6,N/A,4.08,1199,10/07/22,"A Horizont Night Shift tételei között minden évben megtalálható egy pastry stout. A 2022-es év „sütis” Night Shiftjéhez egy klasszikus amerikai süteményt, a pekándiós pitét vettük alapul. A pekándiós pite története az 1880-as évekig tekint vissza, és kimondottan kedvelt az USA deli államaiban, ahol a bourbon whiskey-t készítik, így természetesnek vettük, hogy hordóérleléshez egy Tennessee whiskey-s hordót válasszunk. Mivel a lepárló, ahonnan érkezett, karakteresebb, számottevően vaníliásabb esszenciájú hordókat használ, így ez fantasztikusan áll az alapsörnek, illetve a teljes koncepciónak is. Az alapsör egy sűrű, testes imperial stout, amibe rengeteg házilag pörkölt pekándiót tettünk, így kinyerve belőle az ízeket.ENEach year in the Horizont Night Shift line, we present to you a new pastry stout. The 2022 version is an expression of an American classic dessert, the pecan pie. The Pecan pie dates back to the 1880’s and is very popular in the Southern States where bourbon whiskey is made, so it was a natural fit to age this beer in Tennessee whiskey barrels. The distillery from which the barrels came emphasizes considerably more vanilla essence which is perfect for this brew. The base beer is an Imperial Stout which is a thick, full-bodied beer which was put into the barrels then we added copious amounts of home-roasted pecans, thus extracting the flavors from it. Enjoy this special beer! ",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
32,5571019,HORIZONT Brewing,Night Shift Vintage 2023 - Russian Imperial Stout Aged In Bourbon Barrels With Chocolate & Coffee,Stout - Imperial / Double Coffee,https://untappd.com/b/horizont-brewing-night-shift-vintage-2023-russian-imperial-stout-aged-in-bourbon-barrels-with-chocolate-and-coffee/5571019,11.5,N/A,4.08,878,10/19/23,"Minden évben meglep ennek a már kötelezővé vált tételnek a sokszínűsége. Az alapsör pörkölt malátás jegyei és a Bourbon hordók klasszikus, utánozhatatlan ízvilága már alapból egy egészen különleges, minden évben egyre harmonikusabb ízvilágot alkotnak az egy éves érlelés során, de az igazi varázslat a kakaó- és kávébab megszokott ízjegyeinek átvételekor történik. This beer surprises us each year, since the harmony between the base beer and the barrels turns out to be something magical. Add the classical taste of cocoa and coffee beans, and the perfect barrel aged beer is suddenly in front of you.    ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
33,5201288,Brew Your Mind,Human Experiment THIRTY TWO,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-human-experiment-thirty-two/5201288,8.5,N/A,4.08,323,01/16/23,"Kísérletező sorozatunk legújabb tagja, egy dupla IPA 3 féle komlóval (citra, motueka, nelson sauvin) extrémen komlózva. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5832490,Mad Scientist,Somlói Galuska 2024,Stout - Imperial / Double,https://untappd.com/b/mad-scientist-somloi-galuska-2024/5832490,11.0,N/A,4.08,639,05/18/24,"Our most ambitious collab ever including our amazing friends:Mixen of Culture Drops from DenmarkMárk of Moersleutel from the NetherlandsBoti of B*Bop Fermentory from HungaryMAD SCIENTIST BARREL PROJECTRum Barrel-Aged Pastry Imperial Stout With Walnut, Pecan, Cocoa Beans, Raisins And VanillaCELLAR MASTER NOTESTake time to do what makes your soul happyThe original Somlói Galuska was a real milestone for the Barrel Project when we made it back in 2019 with our dear friends at Moersleutel. It was the first barrel-aged pastry imperial stout for us as well as the first collab within the series and, you've been our witness, we learned so much from these guys. The second release Somlói Nodler already set the bar higher, but we are pretty sure that this third coming of the Somlói is 'the crème de la crème', a real blast of flavours and memories. Eat it and drink it, you sure deserve this treat! ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,5448268,Brew Your Mind,Human Experiment THIRTY SEVEN,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/brew-your-mind-human-experiment-thirty-seven/5448268,7.5,N/A,4.08,436,07/17/23,"Kísérleti sorozatunk legújabb tagja. A sör mindenben megegyezik az előző azaz 36-os Human Experimenttel, csak az élesztő egy általunk még korábban nem használt fajta. Nem is tudjuk eldönteni melyik tetszik jobban. Szerintetek melyik jobb?A Human Experiment sorozat új címkéin számunkra kedves alkotásokat mutatunk be. ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36,4017501,HORIZONT Brewing,Night Shift Vintage 2020 Wheat Wine Aged in Bourbon Barrels,Wheat Beer - Wheat Wine,https://untappd.com/b/horizont-brewing-night-shift-vintage-2020-wheat-wine-aged-in-bourbon-barrels/4017501,13.0,N/A,4.08,819,10/21/20,"It's a 13% ABV Wheat Wine, that wasbrewed with 4 types of malts, 8 hours of boil time, and3 months of fermenting to prepare it for a long journeyin freshly emptied Tennessee Whiskey Barrels.This wheat malt based, high alcohol beer contains copiousamounts of noble German hops, and was aged for12 months in oak barrels. The result is a silky, creamy wheatwine, with incredible complexity. ",1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,5632011,HORIZONT Brewing,"Night Shift Vintage 2023 - Mexicake-Inspired Imperial Stout Aged In Rum, Rhum & Bourbon Barrels",Stout - Russian Imperial,https://untappd.com/b/horizont-brewing-night-shift-vintage-2023-mexicake-inspired-imperial-stout-aged-in-rum-rhum-and-bourbon-barrels/5632011,10.4,N/A,4.07,755,12/05/23,"Chilis, fahéjas Imperial Stout, triple-blended, azaz három különféle (Rum, Rhum és Bourbon) hordóban érlelt, majd gondosan meghatározott arányban vegyített tétel. A varázslatos alapsör egyéves érlelési időszakának végére kiemelkedő hordós ízjegyeket kapott, melyek mellett kiválóan jön a chili és a fahéj mámorítóan harmonikus, ámde visszafogott kombinációja.This full-bodied beer specialty with cinnamon, chili, and chocolate, is based on a true classic, the Mexicake. The base beer was aged in three different types of barrels (Bourbon, Rhum, Rum). The barrels used were various rum and rhum barrels from the Caribbean Islands, as well as bourbon barrels from the USA. ",0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
38,5273250,Mad Scientist,Roasters Paradise Kianderi - Kenya,Stout - Imperial / Double Coffee,https://untappd.com/b/mad-scientist-roasters-paradise-kianderi-kenya/5273250,13.0,N/A,4.07,1467,03/14/23,collab with CASINO MOCCA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6088760,Brew Your Mind,Moment In Time 2024: Maple Syrup,Stout - Imperial / Double,https://untappd.com/b/brew-your-mind-moment-in-time-2024-maple-syrup/6088760,13.5,N/A,4.07,302,12/09/24,"Moment In Time sorozatunk tagjai hordóérlelt, stout típusú komplex fekete söritalok, melyek a maláták összhangjára épülnek.15 éves, 200 literes amerikai – korábban kanadai juharszirupot tartalmazó – tölgyfahordóban 13 hónapig érlelt stout típusú fekete sör.Összesen 320 palack készült. ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,3883223,Mad Scientist,Happy Finish Pedro Ximenez,Stout - Imperial / Double,https://untappd.com/b/mad-scientist-happy-finish-pedro-ximenez/3883223,12.5,N/A,4.07,514,07/21/20,"MAD SCIENTIST BARREL PROJECTBlended Barrel Aged Imperial Stout and PorterCELLAR MASTER NOTESPedro Ximenez is one of the noblest grape varieties that sherry is made from. We had the ultimate luck to get one of these barrels this special spirit had been aged in so we didn't waste time and filled it immediately.The Cuban rum strikes back! After Happy Finish Tawny port, which in fact was the first part of this mini-series, we used this type of barrel again to mature the very same peanut imperial stout, but this time we mixed it with Pedro Ximenez BA imperial porter to add the unique characteristics of sherry to the game. Long story short: it's a Black Forest Cake-party in your mouth! Bitter chocolate, molasses, walnut and a huge amount of berries with an acidic aftertaste. Yummy! ",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
41,6604120,Brew Your Mind,Human Experiment SIXTY THREE,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/brew-your-mind-human-experiment-sixty-three/6604120,8.5,N/A,4.07,360,02/16/26,"Kísérleti sorozatunk legújabb tagja egy intenzíven komlózott hazy DDH dupla IPA Rakau, Nelson Sauvin és Citra komlóval.A Human Experiment sorozat új címkéin számunkra kedves alkotásokat mutatunk be. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
